time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,929,16,209,19
2024-10-12 00:00:00+00:00,6,6,87,20
2024-10-13 00:00:00+00:00,2,1,75,13
2024-10-14 00:00:00+00:00,8,5,97,11
2024-10-15 00:00:00+00:00,16,10,72,16
2024-10-16 00:00:00+00:00,10,8,51,16
2024-10-17 00:00:00+00:00,174,12,63,10
2024-10-18 00:00:00+00:00,299,12,155,12
2024-10-19 00:00:00+00:00,26,25,28,7
2024-10-20 00:00:00+00:00,4,3,53,8
2024-10-21 00:00:00+00:00,77,7,75,7
2024-10-22 00:00:00+00:00,5,5,33,18
2024-10-23 00:00:00+00:00,293,7,51,16
2024-10-24 00:00:00+00:00,7,7,115,27
