time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-19 00:00:00+00:00,245,163,76,19
2023-08-20 00:00:00+00:00,567,319,54,15
2023-08-21 00:00:00+00:00,170,25,136,17
2023-08-22 00:00:00+00:00,18,14,139,15
2023-08-23 00:00:00+00:00,11,9,287,29
2023-08-24 00:00:00+00:00,262,185,239,19
2023-08-25 00:00:00+00:00,27,19,215,15
2023-08-26 00:00:00+00:00,30,24,378,17
2023-08-27 00:00:00+00:00,329,28,110,19
2023-08-28 00:00:00+00:00,753,24,189,25
2023-08-29 00:00:00+00:00,438,20,141,23
2023-08-30 00:00:00+00:00,190,179,158,20
2023-08-31 00:00:00+00:00,15,15,96,16
2023-09-01 00:00:00+00:00,977,761,91,13
