time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-17 00:00:00+00:00,539,21,127,31
2024-03-18 00:00:00+00:00,323,25,314,22
2024-03-19 00:00:00+00:00,314,19,61,17
2024-03-20 00:00:00+00:00,14,14,128,25
2024-03-21 00:00:00+00:00,185,179,41,9
2024-03-22 00:00:00+00:00,28,21,41,14
2024-03-23 00:00:00+00:00,19,19,54,12
2024-03-24 00:00:00+00:00,731,331,168,26
2024-03-25 00:00:00+00:00,163,15,68,15
2024-03-26 00:00:00+00:00,95,21,271,18
2024-03-27 00:00:00+00:00,24,23,77,18
2024-03-28 00:00:00+00:00,18,16,328,18
2024-03-29 00:00:00+00:00,409,182,101,18
2024-03-30 00:00:00+00:00,335,181,32,10
