time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,8,8,128,16
2024-08-24 00:00:00+00:00,18,18,17,8
2024-08-25 00:00:00+00:00,5,4,119,11
2024-08-26 00:00:00+00:00,109,39,24,11
2024-08-27 00:00:00+00:00,639,10,138,16
2024-08-28 00:00:00+00:00,241,29,131,20
2024-08-29 00:00:00+00:00,7,7,143,13
2024-08-30 00:00:00+00:00,10,9,123,13
2024-08-31 00:00:00+00:00,8,8,21,7
2024-09-01 00:00:00+00:00,81,10,19,11
2024-09-02 00:00:00+00:00,74,4,85,9
2024-09-03 00:00:00+00:00,5,5,196,14
2024-09-04 00:00:00+00:00,2,2,42,18
2024-09-05 00:00:00+00:00,598,16,108,15
