time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,2113,31,61,18
2026-07-11 00:00:00+00:00,2172,45,13,10
2026-07-12 00:00:00+00:00,2524,355,29,9
2026-07-13 00:00:00+00:00,1532,27,26,10
2026-07-14 00:00:00+00:00,1467,23,13,6
2026-07-15 00:00:00+00:00,1534,26,60,11
2026-07-16 00:00:00+00:00,1444,16,13,10
2026-07-17 00:00:00+00:00,1623,195,16,12
2026-07-18 00:00:00+00:00,1450,19,15,13
2026-07-19 00:00:00+00:00,1478,16,21,13
2026-07-20 00:00:00+00:00,2091,211,59,9
2026-07-21 00:00:00+00:00,2123,531,20,11
2026-07-22 00:00:00+00:00,1989,360,26,19
2026-07-23 00:00:00+00:00,2173,517,23,17
