time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,292,134,124,19
2025-08-16 00:00:00+00:00,86,84,22,14
2025-08-17 00:00:00+00:00,3738,902,246,17
2025-08-18 00:00:00+00:00,6193,3274,118,10
2025-08-19 00:00:00+00:00,7412,2971,147,7
2025-08-20 00:00:00+00:00,361,214,24,7
2025-08-21 00:00:00+00:00,2102,1417,53,14
2025-08-22 00:00:00+00:00,1126,752,39,12
2025-08-23 00:00:00+00:00,1490,960,26,11
2025-08-24 00:00:00+00:00,1129,697,100,23
2025-08-25 00:00:00+00:00,2073,1725,39,20
2025-08-26 00:00:00+00:00,14,12,32,12
2025-08-27 00:00:00+00:00,14,13,40,15
2025-08-28 00:00:00+00:00,1911,1411,29,12
