time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-03 00:00:00+00:00,1785,1459,34,15
2025-11-04 00:00:00+00:00,30,12,40,17
2025-11-05 00:00:00+00:00,370,17,29,11
2025-11-06 00:00:00+00:00,48,22,65,45
2025-11-07 00:00:00+00:00,176,19,39,17
2025-11-08 00:00:00+00:00,130,27,213,207
2025-11-09 00:00:00+00:00,326,20,102,35
2025-11-10 00:00:00+00:00,204,18,73,22
2025-11-11 00:00:00+00:00,553,207,42,14
2025-11-12 00:00:00+00:00,955,33,76,21
2025-11-13 00:00:00+00:00,21,17,30,11
2025-11-14 00:00:00+00:00,356,188,42,21
2025-11-15 00:00:00+00:00,36,15,62,15
2025-11-16 00:00:00+00:00,20,17,41,15
