time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-12 00:00:00+00:00,156,154,15,7
2023-05-13 00:00:00+00:00,146,139,106,4
2023-05-14 00:00:00+00:00,14,14,37,6
2023-05-15 00:00:00+00:00,10,10,43,5
2023-05-16 00:00:00+00:00,21,13,52,4
2023-05-17 00:00:00+00:00,14,14,174,8
2023-05-18 00:00:00+00:00,153,144,92,9
2023-05-19 00:00:00+00:00,12,12,49,9
2023-05-20 00:00:00+00:00,14,11,38,6
2023-05-21 00:00:00+00:00,19,18,33,9
2023-05-22 00:00:00+00:00,15,14,13,4
2023-05-23 00:00:00+00:00,407,381,66,11
2023-05-24 00:00:00+00:00,470,281,79,10
2023-05-25 00:00:00+00:00,12,12,17,3
