url_path,views_total,views_unique
/saltyorg/Sandbox/tree/master/roles,63,15
/saltyorg/Sandbox,47,26
/saltyorg/Sandbox/pull/332,18,8
/saltyorg/Sandbox/blob/master/roles/vaultwarden/tasks/main.yml,16,1
/saltyorg/Sandbox/blob/master/roles/vaultwarden/defaults/main.yml,14,1
/saltyorg/Sandbox/actions,12,1
/saltyorg/Sandbox/blob/master/roles/immich/defaults/main.yml,11,2
/saltyorg/Sandbox/blob/master/sandbox.yml,10,3
/saltyorg/Sandbox/pulls,9,6
/saltyorg/Sandbox/blob/c5a4242086f250945e7b3da63211f7387e979673/roles/gitea/defaults/main.yml,8,1
