url_path,views_total,views_unique
/saltyorg/Sandbox/tree/master/roles,79,20
/saltyorg/Sandbox,56,35
/saltyorg/Sandbox/blob/master/roles/transmission/defaults/main.yml,19,1
/saltyorg/Sandbox/tree/master/roles/transmission/tasks/subtasks,15,1
/saltyorg/Sandbox/tree/master/roles/transmission/tasks,14,1
/saltyorg/Sandbox/issues/294,13,4
/saltyorg/Sandbox/tree/master/roles/rdtclient,12,2
/saltyorg/Sandbox/blob/master/roles/dashdot/defaults/main.yml,12,1
/saltyorg/Sandbox/tree/master/roles/glances_web,11,1
/saltyorg/Sandbox/tree/master/roles/transmission,11,1
