time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-16 00:00:00+00:00,3242,564,8,4
2026-02-17 00:00:00+00:00,2919,403,35,5
2026-02-18 00:00:00+00:00,1845,139,30,7
2026-02-19 00:00:00+00:00,1852,8,1,1
2026-02-20 00:00:00+00:00,1775,74,12,4
2026-02-21 00:00:00+00:00,1849,78,5,3
2026-02-22 00:00:00+00:00,1911,137,7,2
2026-02-23 00:00:00+00:00,2245,258,32,13
2026-02-24 00:00:00+00:00,3966,1227,32,5
2026-02-25 00:00:00+00:00,3551,1133,14,3
2026-02-26 00:00:00+00:00,3131,543,11,2
2026-02-27 00:00:00+00:00,2169,455,9,4
2026-02-28 00:00:00+00:00,2001,138,9,3
2026-03-01 00:00:00+00:00,1936,75,15,4
