time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-14 00:00:00+00:00,214,80,517,78
2022-10-15 00:00:00+00:00,149,77,286,65
2022-10-16 00:00:00+00:00,41,28,266,66
2022-10-17 00:00:00+00:00,140,134,350,70
2022-10-18 00:00:00+00:00,4,4,244,81
2022-10-19 00:00:00+00:00,52,35,156,64
2022-10-20 00:00:00+00:00,78,39,310,67
2022-10-21 00:00:00+00:00,82,55,370,67
2022-10-22 00:00:00+00:00,66,43,222,70
2022-10-23 00:00:00+00:00,67,38,201,62
2022-10-24 00:00:00+00:00,68,43,235,63
2022-10-25 00:00:00+00:00,27,18,259,75
2022-10-26 00:00:00+00:00,7,4,242,70
2022-10-27 00:00:00+00:00,6,4,195,58
